instance,n,variant,solver,runs,feasible_runs,reference_dv_kms,reference_kind,dv_best_kms,dv_mean_kms,dv_std_kms,gap_best_pct,gap_mean_pct,gap_std_pct,gap_worst_pct,runtime_mean_s,runtime_std_s,runtime_note,feasibility_rate_mean,reason
n5_td30d,5,td,local-search,5,5,0.831426138126927,exact,0.831426138126927,0.831426138126927,0.0,0.0,0.0,0.0,0.0,0.004259149811696261,0.00012037666784387161,wall clock,,
n5_td30d,5,td,ortools,5,0,0.831426138126927,exact,,,,,,,,1.1831754818558693e-06,6.986221704903738e-07,"configured time limit, not a measurement",,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs"
n5_td30d,5,td,qaoa,5,0,0.831426138126927,exact,,,,,,,,4.199787508696318e-06,1.8457753470567144e-06,classical statevector simulation time,,"N=5 needs 25 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n5_td30d,5,td,sa-perm,5,5,0.831426138126927,exact,0.831426138126927,0.831426138126927,0.0,0.0,0.0,0.0,0.0,2.649870042002294,0.008285605237516893,wall clock,1.0,
n5_td30d,5,td,sa-qubo,5,5,0.831426138126927,exact,0.831426138126927,0.831426138126927,0.0,0.0,0.0,0.0,0.0,0.10462835821090266,0.0008830805345594845,wall clock,1.0,
n8_static,8,static,brute,1,1,1.0823533823959817,exact,1.0823533823959817,1.0823533823959817,0.0,0.0,0.0,0.0,0.0,0.0811212919652462,0.0,wall clock,,
n8_static,8,static,cpsat,5,5,1.0823533823959817,exact,1.0823533823959819,1.0823533823959819,0.0,2.0514982309520398e-14,2.0514982309520398e-14,0.0,2.0514982309520398e-14,0.034348725003656,0.001436716121981733,configured time limit unless proven_optimal,1.0,
n8_static,8,static,exact,1,1,1.0823533823959817,exact,1.0823533823959817,1.0823533823959817,0.0,0.0,0.0,0.0,0.0,0.001275625021662563,0.0,wall clock,,
n8_static,8,static,greedy,1,1,1.0823533823959817,exact,1.0823533823959817,1.0823533823959817,0.0,0.0,0.0,0.0,0.0,5.645898636430502e-05,0.0,wall clock,,
n8_static,8,static,local-search,5,5,1.0823533823959817,exact,1.0823533823959817,1.0823533823959817,0.0,0.0,0.0,0.0,0.0,0.02031435859389603,0.0010031842469654258,wall clock,,
n8_static,8,static,ortools,5,5,1.0823533823959817,exact,1.0823533823959819,1.0823533823959819,0.0,2.0514982309520398e-14,2.0514982309520398e-14,0.0,2.0514982309520398e-14,5.000602633401286,0.00011346956711767446,"configured time limit, not a measurement",1.0,
n8_static,8,static,qaoa,5,0,1.0823533823959817,exact,,,,,,,,3.2498035579919813e-06,1.6576028255232199e-06,classical statevector simulation time,,"N=8 needs 64 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n8_static,8,static,sa-perm,5,5,1.0823533823959817,exact,1.0823533823959817,1.0823533823959817,0.0,0.0,0.0,0.0,0.0,6.70973237521248,0.22595694427760038,wall clock,1.0,
n8_static,8,static,sa-qubo,5,5,1.0823533823959817,exact,1.0823533823959817,1.088967630523565,0.013228496255166622,0.0,0.6110987626741182,1.2221975253482364,3.055493813370591,0.2997842747834511,0.0027009585623089414,wall clock,1.0,
n8_td30d,8,td,brute,1,1,1.1123581267408957,exact,1.1123581267408957,1.1123581267408957,0.0,0.0,0.0,0.0,0.0,0.09816629101987928,0.0,wall clock,,
n8_td30d,8,td,cpsat,5,5,1.1123581267408957,exact,1.1123581267408957,1.1123581267408957,0.0,0.0,0.0,0.0,0.0,0.037550566589925435,0.0012525401781788338,configured time limit unless proven_optimal,1.0,
n8_td30d,8,td,exact,1,1,1.1123581267408957,exact,1.1123581267408957,1.1123581267408957,0.0,0.0,0.0,0.0,0.0,0.0013389170053415,0.0,wall clock,,
n8_td30d,8,td,greedy,1,1,1.1123581267408957,exact,1.1720375713992255,1.1720375713992255,0.0,5.365128659884464,5.365128659884464,0.0,5.365128659884464,7.341703167185187e-05,0.0,wall clock,,
n8_td30d,8,td,local-search,5,5,1.1123581267408957,exact,1.1123581267408957,1.1123581267408957,0.0,0.0,0.0,0.0,0.0,0.035710291797295214,0.0041739550857626765,wall clock,,
n8_td30d,8,td,ortools,5,0,1.1123581267408957,exact,,,,,,,,1.433014404028654e-06,1.3736032005614846e-06,"configured time limit, not a measurement",,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs"
n8_td30d,8,td,qaoa,5,0,1.1123581267408957,exact,,,,,,,,6.866804324090481e-06,1.0738814496745196e-06,classical statevector simulation time,,"N=8 needs 64 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n8_td30d,8,td,sa-perm,5,5,1.1123581267408957,exact,1.1123581267408957,1.1123581267408957,0.0,0.0,0.0,0.0,0.0,6.990292374801356,0.15118078495935713,wall clock,1.0,
n8_td30d,8,td,sa-qubo,5,5,1.1123581267408957,exact,1.1123581267408957,1.1490506757472354,0.030002869143048977,0.0,3.2986273147340888,2.6972310824891035,5.7628792539015175,0.2992405752069317,0.010263385736438861,wall clock,1.0,
n10_static,10,static,brute,1,0,1.3267733746221748,exact,,,,,,,,6.659538485109806e-07,0.0,wall clock,,N=10 exceeds brute-force limit 8
n10_static,10,static,cpsat,5,5,1.3267733746221748,exact,1.3267733746221753,1.3267733746221753,0.0,3.347136883693689e-14,3.347136883693689e-14,0.0,3.347136883693689e-14,0.09988891679095105,0.008677380719634302,configured time limit unless proven_optimal,1.0,
n10_static,10,static,exact,1,1,1.3267733746221748,exact,1.3267733746221748,1.3267733746221748,0.0,0.0,0.0,0.0,0.0,0.0052871250081807375,0.0,wall clock,,
n10_static,10,static,greedy,1,1,1.3267733746221748,exact,1.3267733746221748,1.3267733746221748,0.0,0.0,0.0,0.0,0.0,8.937501115724444e-05,0.0,wall clock,,
n10_static,10,static,local-search,5,5,1.3267733746221748,exact,1.3267733746221748,1.3267733746221748,0.0,0.0,0.0,0.0,0.0,0.05744851662311703,0.007033110469855983,wall clock,,
n10_static,10,static,ortools,5,5,1.3267733746221748,exact,1.3267733746221748,1.3267733746221748,0.0,0.0,0.0,0.0,0.0,5.000557891605422,2.550375996460294e-05,"configured time limit, not a measurement",1.0,
n10_static,10,static,qaoa,5,0,1.3267733746221748,exact,,,,,,,,4.008214455097914e-06,1.8955602791665696e-06,classical statevector simulation time,,"N=10 needs 100 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n10_static,10,static,sa-perm,5,5,1.3267733746221748,exact,1.3267733746221748,1.3267733746221748,0.0,0.0,0.0,0.0,0.0,10.448214824986644,0.12673381558763036,wall clock,1.0,
