instance,instance_file,n,variant,time_dependent,solver,seed,deterministic,feasible,reason,total_dv_kms,reference_dv_kms,reference_kind,gap_pct,runtime_s,runtime_note,feasibility_rate,feasibility_is_structural,best_raw_dv_kms,best_repaired_dv_kms,best_was_raw_sample,mean_feasible_dv_kms,mean_random_permutation_dv_kms,random_permutation_method,optimal_sample_probability,uniform_optimal_probability,uniform_feasible_probability,num_optimal_sequences,num_samples,num_variables,penalty,proven_optimal,certified_lower_bound_kms,sequence_norad
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,ortools,2,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,5.000848875002703,"configured time limit, not a measurement",1.0,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,ortools,3,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,5.000686832994688,"configured time limit, not a measurement",1.0,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,ortools,4,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,5.000799832982011,"configured time limit, not a measurement",1.0,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,ortools,5,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,5.00065512501169,"configured time limit, not a measurement",1.0,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,local-search,1,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.002062042010948062,wall clock,,,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,local-search,2,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.0021246669930405915,wall clock,,,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,local-search,3,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.0018862920114770532,wall clock,,,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,local-search,4,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.0018189999973401427,wall clock,,,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,local-search,5,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.001982250018045306,wall clock,,,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,sa-perm,1,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,2.472593084006803,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,sa-perm,2,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,2.661042166990228,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,sa-perm,3,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,2.475205458002165,wall clock,1.0,True,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,sa-perm,4,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,2.7135879159905016,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,sa-perm,5,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,2.4966574999853037,wall clock,1.0,True,,,,,,,,,,,,,,,,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,cpsat,1,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.014083499991102144,configured time limit unless proven_optimal,1.0,True,,,,,,,,,,,,,,True,0.594628,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,cpsat,2,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.004854042024817318,configured time limit unless proven_optimal,1.0,True,,,,,,,,,,,,,,True,0.594628,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,cpsat,3,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.005676832981407642,configured time limit unless proven_optimal,1.0,True,,,,,,,,,,,,,,True,0.594628,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,cpsat,4,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.00496066699270159,configured time limit unless proven_optimal,1.0,True,,,,,,,,,,,,,,True,0.594628,35848 34487 36493 38474
n4_static,iridium33_20260402_planecluster-v1_n4_static.npz,4,static,False,cpsat,5,False,True,,0.5946282473318969,0.5946282473318969,exact,0.0,0.004395709023810923,configured time limit unless proven_optimal,1.0,True,,,,,,,,,,,,,,True,0.594628,35848 34487 36493 38474
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,greedy,,True,True,,0.5204973409774242,0.5204973409774242,exact,0.0,2.37500062212348e-05,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,exact,,True,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.00015104201156646013,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,brute,,True,True,,0.5204973409774242,0.5204973409774242,exact,0.0,6.287501309998333e-05,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-qubo,1,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.09831191701232456,wall clock,1.0,,0.5204973409774242,0.5204973409774242,True,0.641616282575023,0.9735235789576464,exact (24 permutations),0.184,1.52587890625e-05,0.0003662109375,1,500,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-qubo,2,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.09817737500998192,wall clock,1.0,,0.5204973409774242,0.5204973409774242,True,0.6385191157157151,0.9735235789576464,exact (24 permutations),0.188,1.52587890625e-05,0.0003662109375,1,500,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-qubo,3,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.09802795801078901,wall clock,1.0,,0.5204973409774242,0.5204973409774242,True,0.6430182512250854,0.9735235789576464,exact (24 permutations),0.196,1.52587890625e-05,0.0003662109375,1,500,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-qubo,4,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.09792041598120704,wall clock,1.0,,0.5204973409774242,0.5204973409774242,True,0.641867680784513,0.9735235789576464,exact (24 permutations),0.196,1.52587890625e-05,0.0003662109375,1,500,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-qubo,5,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.09766808297717944,wall clock,1.0,,0.5204973409774242,0.5204973409774242,True,0.6369601757722433,0.9735235789576464,exact (24 permutations),0.196,1.52587890625e-05,0.0003662109375,1,500,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,qaoa,1,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,114.39401537500089,classical statevector simulation time,0.071533203125,,0.5204973409774242,0.5204973409774242,False,0.8635114624446365,0.9735235789576464,exact (24 permutations),0.0048828125,1.52587890625e-05,0.0003662109375,1,4096,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,qaoa,2,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,155.62561783299316,classical statevector simulation time,0.025634765625,,0.5204973409774242,0.5204973409774242,False,0.896388242407991,0.9735235789576464,exact (24 permutations),0.0009765625,1.52587890625e-05,0.0003662109375,1,4096,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,qaoa,3,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,155.5610297920066,classical statevector simulation time,0.010498046875,,0.5204973409774242,0.5204973409774242,False,0.9608317367651821,0.9735235789576464,exact (24 permutations),0.000732421875,1.52587890625e-05,0.0003662109375,1,4096,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,qaoa,4,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,155.79687220801134,classical statevector simulation time,0.013671875,,0.5204973409774242,0.5204973409774242,False,0.9070801698975568,0.9735235789576464,exact (24 permutations),0.000244140625,1.52587890625e-05,0.0003662109375,1,4096,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,qaoa,5,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,155.52079295899603,classical statevector simulation time,0.013427734375,,0.5204973409774242,0.5204973409774242,False,0.9238894639643092,0.9735235789576464,exact (24 permutations),0.0009765625,1.52587890625e-05,0.0003662109375,1,4096,16,0.5725470750751667,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,ortools,1,False,False,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs",,0.5204973409774242,exact,,4.458008334040642e-06,"configured time limit, not a measurement",,,,,,,,,,,,,,,,,,
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,ortools,2,False,False,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs",,0.5204973409774242,exact,,1.834006980061531e-06,"configured time limit, not a measurement",,,,,,,,,,,,,,,,,,
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,ortools,3,False,False,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs",,0.5204973409774242,exact,,1.5409896150231361e-06,"configured time limit, not a measurement",,,,,,,,,,,,,,,,,,
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,ortools,4,False,False,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs",,0.5204973409774242,exact,,1.2080126907676458e-06,"configured time limit, not a measurement",,,,,,,,,,,,,,,,,,
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,ortools,5,False,False,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs",,0.5204973409774242,exact,,1.0830117389559746e-06,"configured time limit, not a measurement",,,,,,,,,,,,,,,,,,
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,local-search,1,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.00328416601405479,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,local-search,2,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.0031749579939059913,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,local-search,3,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.003016792004927993,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,local-search,4,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.0030832499905955046,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,local-search,5,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,0.0030649169930256903,wall clock,,,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-perm,1,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,2.86326337500941,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-perm,2,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,2.381705209001666,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-perm,3,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,1.990864249994047,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-perm,4,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,2.438153875002172,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
n4_td30d,iridium33_20260402_planecluster-v1_n4_td30d.npz,4,td,True,sa-perm,5,False,True,,0.5204973409774242,0.5204973409774242,exact,0.0,2.7146142499987036,wall clock,1.0,True,,,,,,,,,,,,,,,,38474 36493 34487 35848
