instance,n,num_variables,seed,penalty_factor,penalty,path_upper_bound_kms,provably_sufficient,feasibility_rate,best_raw_dv_kms,best_repaired_dv_kms,mean_feasible_dv_kms,reference_dv_kms,gap_pct,reason
n4_td30d,4,16,1,0.5,0.2602486704887121,0.5204973409774242,False,0.546,0.5204973409774242,0.5204973409774242,0.5211026355612586,0.5204973409774242,0.0,
n4_td30d,4,16,1,1.0,0.5204973409774242,0.5204973409774242,False,1.0,0.5204973409774242,0.5204973409774242,0.6150952011701826,0.5204973409774242,0.0,
n4_td30d,4,16,1,1.05,0.5465222080262954,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6383093204186621,0.5204973409774242,0.0,
n4_td30d,4,16,1,1.1,0.5725470750751667,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.641616282575023,0.5204973409774242,0.0,
n4_td30d,4,16,1,1.5,0.7807460114661362,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6974988236191328,0.5204973409774242,0.0,
n4_td30d,4,16,1,2.0,1.0409946819548483,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.75135546133905,0.5204973409774242,0.0,
n4_td30d,4,16,1,4.0,2.0819893639096967,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8463824843002365,0.5204973409774242,0.0,
n4_td30d,4,16,1,8.0,4.163978727819393,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.9082200460550593,0.5204973409774242,0.0,
n4_td30d,4,16,2,0.5,0.2602486704887121,0.5204973409774242,False,0.57,0.5204973409774242,0.5204973409774242,0.5209321973494946,0.5204973409774242,0.0,
n4_td30d,4,16,2,1.0,0.5204973409774242,0.5204973409774242,False,1.0,0.5204973409774242,0.5204973409774242,0.6087948971102527,0.5204973409774242,0.0,
n4_td30d,4,16,2,1.05,0.5465222080262954,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6282879556123305,0.5204973409774242,0.0,
n4_td30d,4,16,2,1.1,0.5725470750751667,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6385191157157151,0.5204973409774242,0.0,
n4_td30d,4,16,2,1.5,0.7807460114661362,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6882662745943797,0.5204973409774242,0.0,
n4_td30d,4,16,2,2.0,1.0409946819548483,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.7355688089407252,0.5204973409774242,0.0,
n4_td30d,4,16,2,4.0,2.0819893639096967,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8705751245444999,0.5204973409774242,0.0,
n4_td30d,4,16,2,8.0,4.163978727819393,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8987406467894395,0.5204973409774242,0.0,
n4_td30d,4,16,3,0.5,0.2602486704887121,0.5204973409774242,False,0.528,0.5204973409774242,0.5204973409774242,0.5208103057906567,0.5204973409774242,0.0,
n4_td30d,4,16,3,1.0,0.5204973409774242,0.5204973409774242,False,1.0,0.5204973409774242,0.5204973409774242,0.6227325377261057,0.5204973409774242,0.0,
n4_td30d,4,16,3,1.05,0.5465222080262954,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6223639723262665,0.5204973409774242,0.0,
n4_td30d,4,16,3,1.1,0.5725470750751667,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6430182512250854,0.5204973409774242,0.0,
n4_td30d,4,16,3,1.5,0.7807460114661362,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.7036061468571115,0.5204973409774242,0.0,
n4_td30d,4,16,3,2.0,1.0409946819548483,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.7500057675580221,0.5204973409774242,0.0,
n4_td30d,4,16,3,4.0,2.0819893639096967,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8721503707250186,0.5204973409774242,0.0,
n4_td30d,4,16,3,8.0,4.163978727819393,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.9295365704076025,0.5204973409774242,0.0,
n4_td30d,4,16,4,0.5,0.2602486704887121,0.5204973409774242,False,0.522,0.5204973409774242,0.5204973409774242,0.5212887462522651,0.5204973409774242,0.0,
n4_td30d,4,16,4,1.0,0.5204973409774242,0.5204973409774242,False,1.0,0.5204973409774242,0.5204973409774242,0.6264691765107204,0.5204973409774242,0.0,
n4_td30d,4,16,4,1.05,0.5465222080262954,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6269193224035918,0.5204973409774242,0.0,
n4_td30d,4,16,4,1.1,0.5725470750751667,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.641867680784513,0.5204973409774242,0.0,
n4_td30d,4,16,4,1.5,0.7807460114661362,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6795388587400303,0.5204973409774242,0.0,
n4_td30d,4,16,4,2.0,1.0409946819548483,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.7460019425695599,0.5204973409774242,0.0,
n4_td30d,4,16,4,4.0,2.0819893639096967,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8589813711984177,0.5204973409774242,0.0,
n4_td30d,4,16,4,8.0,4.163978727819393,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.910803618120191,0.5204973409774242,0.0,
n4_td30d,4,16,5,0.5,0.2602486704887121,0.5204973409774242,False,0.552,0.5204973409774242,0.5204973409774242,0.520647019801144,0.5204973409774242,0.0,
n4_td30d,4,16,5,1.0,0.5204973409774242,0.5204973409774242,False,1.0,0.5204973409774242,0.5204973409774242,0.6276629839947051,0.5204973409774242,0.0,
n4_td30d,4,16,5,1.05,0.5465222080262954,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6232918402115267,0.5204973409774242,0.0,
n4_td30d,4,16,5,1.1,0.5725470750751667,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6369601757722433,0.5204973409774242,0.0,
n4_td30d,4,16,5,1.5,0.7807460114661362,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.6867281015373942,0.5204973409774242,0.0,
n4_td30d,4,16,5,2.0,1.0409946819548483,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.7425936375898757,0.5204973409774242,0.0,
n4_td30d,4,16,5,4.0,2.0819893639096967,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.8434326273960712,0.5204973409774242,0.0,
n4_td30d,4,16,5,8.0,4.163978727819393,0.5204973409774242,True,1.0,0.5204973409774242,0.5204973409774242,0.9125053207861032,0.5204973409774242,0.0,
n5_td30d,5,25,1,0.5,0.4157130690634635,0.831426138126927,False,0.77,0.831426138126927,0.831426138126927,0.9177618227527851,0.831426138126927,0.0,
n5_td30d,5,25,1,1.0,0.831426138126927,0.831426138126927,False,1.0,0.831426138126927,0.831426138126927,1.1487328279830886,0.831426138126927,0.0,
n5_td30d,5,25,1,1.05,0.8729974450332734,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.1632924924525514,0.831426138126927,0.0,
n5_td30d,5,25,1,1.1,0.9145687519396197,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.1626739409967175,0.831426138126927,0.0,
n5_td30d,5,25,1,1.5,1.2471392071903904,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.29167286586019,0.831426138126927,0.0,
n5_td30d,5,25,1,2.0,1.662852276253854,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.3816435165866214,0.831426138126927,0.0,
n5_td30d,5,25,1,4.0,3.325704552507708,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.5344549162631325,0.831426138126927,0.0,
n5_td30d,5,25,1,8.0,6.651409105015416,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.5853869862018377,0.831426138126927,0.0,
n5_td30d,5,25,2,0.5,0.4157130690634635,0.831426138126927,False,0.764,0.831426138126927,0.831426138126927,0.9160996956591009,0.831426138126927,0.0,
n5_td30d,5,25,2,1.0,0.831426138126927,0.831426138126927,False,1.0,0.831426138126927,0.831426138126927,1.1392448950590977,0.831426138126927,0.0,
n5_td30d,5,25,2,1.05,0.8729974450332734,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.1805187334463603,0.831426138126927,0.0,
n5_td30d,5,25,2,1.1,0.9145687519396197,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.177569743936038,0.831426138126927,0.0,
n5_td30d,5,25,2,1.5,1.2471392071903904,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.2907851727499886,0.831426138126927,0.0,
n5_td30d,5,25,2,2.0,1.662852276253854,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.3890459873268992,0.831426138126927,0.0,
n5_td30d,5,25,2,4.0,3.325704552507708,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.510288559397786,0.831426138126927,0.0,
n5_td30d,5,25,2,8.0,6.651409105015416,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.5662744600590528,0.831426138126927,0.0,
n5_td30d,5,25,3,0.5,0.4157130690634635,0.831426138126927,False,0.744,0.831426138126927,0.831426138126927,0.9339918481771521,0.831426138126927,0.0,
n5_td30d,5,25,3,1.0,0.831426138126927,0.831426138126927,False,1.0,0.831426138126927,0.831426138126927,1.134618583062484,0.831426138126927,0.0,
n5_td30d,5,25,3,1.05,0.8729974450332734,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.1618600697601273,0.831426138126927,0.0,
n5_td30d,5,25,3,1.1,0.9145687519396197,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.201407722573461,0.831426138126927,0.0,
n5_td30d,5,25,3,1.5,1.2471392071903904,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.3198682205748609,0.831426138126927,0.0,
n5_td30d,5,25,3,2.0,1.662852276253854,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.4067611817258712,0.831426138126927,0.0,
n5_td30d,5,25,3,4.0,3.325704552507708,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.5394740865605796,0.831426138126927,0.0,
n5_td30d,5,25,3,8.0,6.651409105015416,0.831426138126927,True,1.0,0.831426138126927,0.831426138126927,1.6243958663167786,0.831426138126927,0.0,
n5_td30d,5,25,4,0.5,0.4157130690634635,0.831426138126927,False,0.756,0.831426138126927,0.831426138126927,0.9257770969678579,0.831426138126927,0.0,
n5_td30d,5,25,4,1.0,0.831426138126927,0.831426138126927,False,1.0,0.831426138126927,0.831426138126927,1.1617593094485834,0.831426138126927,0.0,
